dataset_version,benchmark_commit,target_id,target_cpu,target_features,dtype,operator_kind,shape_group_id,candidate_id,candidate_kind,split,M,N,K,output_elements,reduction_elements,total_flops,input_bytes,output_bytes,arithmetic_intensity,fused,bias_enabled,relu_enabled,intermediate_tensor_count,estimated_intermediate_bytes,avoided_intermediate_bytes,schedule_kind,scalar,vectorized,whole_shape_vectorized,tiled,tile_m,tile_n,tile_k,vector_width,full_tile_count,padding_policy,padded_m,padded_n,padded_k,padded_elements,padded_flops,padded_flop_ratio,temporary_bytes,zero_fill_bytes,copy_bytes,m_remainder,n_remainder,k_remainder,m_tail_strategy,n_tail_strategy,k_tail_strategy,m_tail_invocations,n_tail_invocations,k_tail_invocations,direct_vector_ops,masked_lane_waste,estimated_llvm_ir_bytes,estimated_object_text_bytes,estimated_static_instruction_count,branch_cost_feature,register_pressure_estimate,spill_risk,lowering_stage_count,target_legal,lowering_complete,native_executable,legality_reason,unsupported_reason,execution_status,correctness_pass,sentinel_pass,sanitizer_pass,label_valid,warmup_calls,measured_calls,median_ns,p95_ns,mad_ns,min_ns,max_ns,checksum,max_absolute_error,max_relative_error,cpu_affinity,governor,current_frequency_khz,compiler_flags,compiler_version,mlir_version,binary_hash,object_hash,actual_llvm_mlir_bytes,actual_llvm_ir_bytes,actual_object_text_bytes,actual_static_instruction_count,actual_fmla_count,actual_branch_count,actual_stack_frame_bytes,actual_spills,compile_time_ms,compiler_peak_rss_kib,log_median_ns
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m1024_n16_k32_f32,fused_scalar,scalar_baseline,train,1024,16,32,16384,32,1081344,198656,65536,4.093023255813954,True,True,True,0,0,131072,scalar,True,False,False,False,0,0,0,1,0,none,1024,16,32,0,1081344,1.0,0,0,0,0,0,0,none,none,none,0,0,0,0,0,512,512,64,1,3.0,False,8,True,True,True,,,success,True,True,,True,100,2000,2046090.0,2046849.0,1425.0,2044515.0,2115275.0,86ad1701ddcf6f1e51258b2ebc69bf9091820a81854e3c1f18ef23600381b2ee,3.57627869e-07,0.000756429652,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,c4ca0fcc983c6ca350c4e37cfb0ca741d2b783e6db55b15d4ea0c87ed730de25,400ff469aceab258ac45a6e8b66744f36fb283a9a59c5cde367aed6231768665,16481,11533,,141,0,21,,,177.75739589706063,,14.531441212796048
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m1024_n16_k32_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,train,1024,16,32,16384,32,1081344,198656,65536,4.093023255813954,True,True,True,0,0,131072,tiled_vector,False,True,False,True,8,8,8,4,1024,none,1024,16,32,0,1081344,1.0,0,0,0,0,0,0,none,none,none,0,0,0,0,0,1049088,2097664,131136,1024,1.0,False,10,True,True,True,,,success,True,True,,True,100,2000,42908.0,43074.0,56.0,42704.0,47630.0,ba4ca6a7164d4b49bb20fdd0f5df1aa24d6ea93efd92a4acc4ac8c62f66e5b28,0,0,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,d8a2300a5180b1d2068a5640d29370d0ab6357f7a1e573bc1f28550bf35aab0c,1dd8e08ad047d9f5d063a86b444ff612948adab51bc74883b5639928cf50cdbf,81704,48205,,354,128,11,,,214.42341106012464,,10.66681356771732
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m1024_n8_k16_f32,fused_scalar,scalar_baseline,validation,1024,8,16,8192,16,278528,98816,32768,2.1167315175097277,True,True,True,0,0,65536,scalar,True,False,False,False,0,0,0,1,0,none,1024,8,16,0,278528,1.0,0,0,0,0,0,0,none,none,none,0,0,0,0,0,512,512,64,1,3.0,False,8,True,True,True,,,success,True,True,,True,100,2000,531277.0,532999.0,0.0,531240.0,594110.0,5a9e3c70d5edf953df2c20f302833994c3997f704e3efa988ac81c082c67290a,2.38418579e-07,0.000284292822,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,81d4cdecaa37088c9624f5afd63df28156f0c26c2043419ee29118049dda7912,719303f4b9f1e82e021b93414f35e9ca49f8f7319cc0e4f7a7d789be71ebb9b7,16468,11518,,139,0,21,,,153.42450886964798,,13.183038821458704
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m1024_n8_k16_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,validation,1024,8,16,8192,16,278528,98816,32768,2.1167315175097277,True,True,True,0,0,65536,tiled_vector,False,True,False,True,8,8,8,4,256,none,1024,8,16,0,278528,1.0,0,0,0,0,0,0,none,none,none,0,0,0,0,0,262656,524800,32832,256,1.0,False,10,True,True,True,,,success,True,True,,True,100,2000,11963.0,12018.0,19.0,11851.0,23759.0,151b499032f42149f47a30d27159fb3e4c113571be6001b2c61f0089590da097,0,0,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,ef907d8fedcb5820cb9eb97b77ea876d3706ae62d8dca0b4a0d5853b40cb3485,dfb2afbb276bc2dc460b020f91d0dbc5069dde95e8ffa0830170452fbab8f24b,81287,47719,,343,128,9,,,218.3558400720358,,9.389573832170905
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m127_n127_k128_f32,fused_scalar,scalar_baseline,heldout,127,127,128,16129,128,4161282,194564,64516,16.061764705882354,True,True,True,0,0,129032,scalar,True,False,False,False,0,0,0,1,0,none,127,127,128,0,4161282,1.0,0,0,0,7,7,0,none,none,none,0,0,0,0,0,512,512,64,1,3.0,False,8,True,True,True,,,success,True,True,,True,100,500,7845916.0,7851769.0,204.0,7844157.0,7913843.0,95a877f71debb3cac329e71b9c1adcd182935a73fec2f5470525d32501f2d41a,7.15255737e-07,0.00192492782,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,eafccb62f96d0209d761500328f2b6ae988aef9c3f4c44045ee5e7aa1d92b76e,0070a970421b9529c3cc34a706af969ceb6e19ff8c2de4a8f02957ef900b7e88,16440,11544,,140,0,21,,,148.10339105315506,,15.875503699602048
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m127_n127_k128_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,heldout,127,127,128,16129,128,4161282,194564,64516,16.061764705882354,True,True,True,0,0,129032,tiled_vector,False,True,False,True,8,8,8,4,3600,tile_materialized,127,127,128,0,4161282,1.0,768,393216,262144,7,7,0,none,none,none,256,256,0,0,0,4129536,8258560,516192,4096,1.0,False,10,True,True,True,,,success,True,True,,True,100,500,1485387.0,1487868.0,425.0,1484517.0,1504924.0,bcac2077357872b28d2c9548919ccd442e6e4abb4b68d286519f6d30b82029a3,0,0,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,40a88e01e98273f3fd7cd5b76312288961e4ffe88917047b2a0134e1a8c7e08b,f57e5609e20b448597f738f08f31196d62ca826521d3cf4955e72429d5ad92e2,114992,66872,,722,128,53,,,264.8204988799989,,14.211185902327681
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m127_n129_k256_f32,fused_scalar,scalar_baseline,train,127,129,256,16383,256,8420862,327676,65532,21.415795202539115,True,True,True,0,0,131064,scalar,True,False,False,False,0,0,0,1,0,none,127,129,256,0,8420862,1.0,0,0,0,7,1,0,none,none,none,0,0,0,0,0,512,512,64,1,3.0,False,8,True,True,True,,,success,True,True,,True,100,500,15858495.0,15870458.0,723.0,15855606.0,15936717.0,1daf49b31dcdda8d4a5fae04acc10defe0732d596c19a492fe907e457a6e4841,1.43051147e-06,0.00229951135,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,933cd1173a8a968d235d6688cb901659f7b94561c4eda301093922aba6602fa9,02dc5633dc086ba13d55730c84b9e14af12c3ffce602f2b4efe4ad9baf9ed3b7,16490,11544,,142,0,21,,,148.50997203029692,,16.579215876856264
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m127_n129_k256_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,train,127,129,256,16383,256,8420862,327676,65532,21.415795202539115,True,True,True,0,0,131064,tiled_vector,False,True,False,True,8,8,8,4,7680,tile_materialized,127,129,256,0,8420862,1.0,768,811008,540672,7,1,0,none,none,none,544,512,0,0,0,8388608,16776704,1048576,8704,1.0,False,10,True,True,True,,,success,True,True,,True,100,500,3024885.0,3029403.0,1445.0,3021329.0,3083810.0,88a8c4d212c807c62dece8b759b2c0d25ee1988cbbcdbadcb3e6bccdc59db749,0,0,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,03355e94a1ca48c7ee6c8e97561694832c878feabb0127d80cbba732b457524a,7d0d58b5314e98623f8b41d7068fc1ee5617c4c02322e708393afad5909e863e,115044,66872,,730,128,53,,,251.85878295451403,,14.922383632195507
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m128_n128_k127_f32,fused_scalar,scalar_baseline,validation,128,128,127,16384,127,4194304,195584,65536,16.062745098039215,True,True,True,0,0,131072,scalar,True,False,False,False,0,0,0,1,0,none,128,128,127,0,4194304,1.0,0,0,0,0,0,7,none,none,none,0,0,0,0,0,512,512,64,1,3.0,False,8,True,True,True,,,success,True,True,,True,100,500,7908102.0,7914176.0,277.0,7906212.0,7975935.0,3942fbb5a29bb339ec109a3e32457109624e6f3c491ad057a25bfe92926cff51,7.15255737e-07,0.000917010546,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,2a3c920dbf2cb53e7cb5d03d54a7ee7591b442789b57fda38d98fb1709a5b8e7,c10422468eea08acd8ffd53834aea825468e2f2ed424261f3e65f05e089afcd5,16440,11544,,141,0,21,,,180.40944286622107,,15.883398361520266
matmul_bias_relu_latency_row_v1,a7190332cb38049430d2305aef5fb26ff5251971,raspberry-pi5-cortex-a76,cortex-a76,"+neon,+fp-armv8",f32,matmul_bias_relu,m128_n128_k127_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,validation,128,128,127,16384,127,4194304,195584,65536,16.062745098039215,True,True,True,0,0,131072,tiled_vector,False,True,False,True,8,8,8,4,3840,none,128,128,127,0,4194304,1.0,0,0,0,0,0,7,none,none,direct_vector_cleanup,0,0,256,229376,0,4162048,8323584,520256,4096,1.0,False,10,True,True,True,,,success,True,True,,True,100,500,219315.0,221147.0,75.0,218908.0,226000.0,20ba66d009f9b5513d9dbea56db28d6220d80fe0d026c9189c4bc27d3ece9882,0,0,3,ondemand,,-O3 -mtriple=aarch64-linux-gnu -mcpu=cortex-a76,Pi g++ and LLVM 21 captured by runner,MLIR 21,9eb15497db7a393bdda31a0257d0fdc260c0b651abef3270bc2f5abcdcc66285,b0a54116d2cf509c3d18754c105992b64a8ad7bbe2470273b7c38fa94eb239a1,65493,42746,,378,144,13,,,184.38648921437562,,12.298264331519649
