workload_id,pattern,k,output_bytes,fusion_pressure_score,matmul_flops,fair_fusion_speedup,absolute_latency_saved_ms
rep_m1_k768_n3072,bias,768,12288,0.010416666666666666,4718592,0.9749248583918048,0.0
rep_m1_k768_n3072,elementwise_add,768,12288,0.010416666666666666,4718592,0.9796943307008265,0.0
stress_m512_n512_k16,bias,16,1048576,0.5,8388608,1.2362214971306689,0.22326899999999994
stress_m512_n512_k16,elementwise_add,16,1048576,0.5,8388608,1.217678511067635,0.21251299999999995
stress_m512_n512_k32,bias,32,1048576,0.25,16777216,1.1614927891974574,0.2943500000000001
stress_m512_n512_k32,elementwise_add,32,1048576,0.25,16777216,1.1516527949736572,0.2806200000000001
stress_m1024_n1024_k16,bias,16,4194304,0.5,33554432,1.4177122449397477,1.6727880000000006
stress_m1024_n1024_k16,elementwise_add,16,4194304,0.5,33554432,1.2484716453789193,1.2072790000000007
balanced_m64_n64_k64,bias,64,16384,0.125,524288,1.181037437635678,0.009507000000000002
balanced_m64_n64_k64,elementwise_add,64,16384,0.125,524288,1.1646271195741644,0.009000000000000001
balanced_m128_n128_k128,bias,128,65536,0.0625,4194304,1.1549269748765147,0.06539699999999998
balanced_m128_n128_k128,elementwise_add,128,65536,0.0625,4194304,1.1644430371852257,0.068554
balanced_m256_n256_k256,bias,256,262144,0.03125,33554432,1.135159224487175,0.4588680000000003
balanced_m256_n256_k256,elementwise_add,256,262144,0.03125,33554432,1.1505589067249358,0.5053319999999997
unfriendly_m128_n128_k512,bias,512,65536,0.015625,16777216,1.1252372072535055,0.21323199999999987
unfriendly_m128_n128_k512,elementwise_add,512,65536,0.015625,16777216,1.1588146277059332,0.2633110000000001
unfriendly_m128_n128_k1024,bias,1024,65536,0.0078125,33554432,1.1505894726169188,0.5020009999999999
unfriendly_m128_n128_k1024,elementwise_add,1024,65536,0.0078125,33554432,1.0666478852578165,0.23988599999999982
unfriendly_m64_n64_k4096,bias,4096,16384,0.001953125,33554432,1.148496736872666,0.4966459999999997
unfriendly_m64_n64_k4096,elementwise_add,4096,16384,0.001953125,33554432,1.1589639352222645,0.5368840000000001
ksweep_m1024_n1024_k8,bias,8,4194304,1.0,16777216,1.601717603498106,1.3507790000000002
ksweep_m1024_n1024_k8,elementwise_add,8,4194304,1.0,16777216,1.4108892891716116,1.0848939999999998
holdout_m192_n192_k192,bias,192,147456,0.041666666666666664,14155776,1.1641693071202246,0.0
holdout_m192_n192_k192,elementwise_add,192,147456,0.041666666666666664,14155776,1.1627359006821676,0.0
holdout_m768_n768_k32,bias,32,2359296,0.25,37748736,1.300315311675802,0.0
holdout_m768_n768_k32,elementwise_add,32,2359296,0.25,37748736,1.2850438749775208,0.0
